,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,S6,C6,S7,C7,percentage_of_total_chips_hand,percentage_of_hand_bet_pot,percentage_of_total_chips_in_pot,current_stage,move,result,player_hand_ranking
0,2,7,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,2,11,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,7
1,2,11,3,9,3,8,1,7,2,6,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,7
2,2,11,3,9,3,8,1,7,2,6,1,3,0,0,0.16666666666666666,0.0125,0.006666666666666667,2,2,1,7
0,4,10,2,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,7
0,1,3,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,7
1,1,3,1,8,3,13,1,5,4,1,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,0,1,3
0,2,4,2,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,2,1,2,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,3
1,2,1,2,10,3,13,1,5,4,1,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,3
0,2,9,3,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,1,11,4,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,2,2,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,3
0,1,12,1,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,7
1,1,12,1,2,3,9,1,3,2,13,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,0,1,7
0,4,9,1,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,7
1,4,9,1,9,3,9,1,3,2,13,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,7
0,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,2,11,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,1,12,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006566666666666667,0,0,1,3
0,4,11,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0222,0.006566666666666667,0,1,1,7
1,4,11,4,6,3,6,4,9,3,11,0,0,0,0,0.16666666666666666,0.0672,0.014066666666666667,1,2,1,7
0,4,13,4,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006566666666666667,0,0,1,7
0,4,4,2,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006566666666666667,0,0,1,6
0,3,7,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006566666666666667,0,0,1,6
0,2,3,2,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0122,0.006566666666666667,0,2,1,7
1,2,3,2,12,3,6,4,9,3,11,0,0,0,0,0.16666666666666666,0.0122,0.014066666666666667,1,0,1,7
0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.035,0.011666666666666667,0,1,1,3
1,1,2,4,2,2,9,3,5,2,10,0,0,0,0,0.16666666666666666,0.035,0.011666666666666667,1,1,1,7
2,1,2,4,2,2,9,3,5,2,10,4,8,0,0,0.16666666666666666,0.035,0.011666666666666667,2,0,1,7
0,2,11,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.035,0.011666666666666667,0,2,1,7
1,2,11,3,13,2,9,3,5,2,10,0,0,0,0,0.16666666666666666,0.035,0.011666666666666667,1,2,1,7
2,2,11,3,13,2,9,3,5,2,10,4,8,0,0,0.16666666666666666,0.035,0.011666666666666667,2,2,1,7
0,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.011666666666666667,0,0,1,7
0,3,10,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.011666666666666667,0,0,1,7
0,3,8,2,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.011666666666666667,0,0,1,7
0,2,12,3,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.011666666666666667,0,0,1,7
0,2,13,4,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.025,0.005833333333333334,0,2,1,7
0,3,2,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,0,0,1,7
0,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,4,3,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,3,12,4,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
