,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,S6,C6,S7,C7,percentage_of_total_chips_hand,percentage_of_hand_bet_pot,percentage_of_total_chips_in_pot,current_stage,move,result,player_hand_ranking
0,1,6,3,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,0,0,1,7
0,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,6
0,2,3,4,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,4,6,4,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,2,2,2,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,2,12,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.01125,0,1,1,7
1,2,12,4,10,4,9,3,3,2,4,0,0,0,0,0.16666666666666666,0.0225,0.01125,1,0,1,3
0,4,12,1,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.01125,0,0,1,7
0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.01125,0,2,1,3
1,1,8,1,1,4,9,3,3,2,4,0,0,0,0,0.16666666666666666,0.0125,0.01125,1,0,1,3
0,1,10,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.01125,0,0,1,7
0,3,9,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.01125,0,1,1,7
1,3,9,2,9,4,9,3,3,2,4,0,0,0,0,0.16666666666666666,0.0225,0.01125,1,1,1,7
0,2,8,4,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.01125,0,0,1,3
0,3,13,2,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.005833333333333334,0,0,1,7
0,4,13,2,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.02,0.005833333333333334,0,1,1,3
1,4,13,2,12,3,12,3,4,4,5,0,0,0,0,0.16666666666666666,0.0425,0.009583333333333333,1,1,1,3
2,4,13,2,12,3,12,3,4,4,5,1,3,0,0,0.16666666666666666,0.0425,0.009583333333333333,2,1,1,7
3,4,13,2,12,3,12,3,4,4,5,1,3,3,1,0.16666666666666666,0.0875,0.017083333333333332,3,1,1,7
0,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,0,2,1,7
1,1,1,2,11,3,12,3,4,4,5,0,0,0,0,0.16666666666666666,0.01,0.009583333333333333,1,2,1,7
2,1,1,2,11,3,12,3,4,4,5,1,3,0,0,0.16666666666666666,0.01,0.009583333333333333,2,2,1,7
3,1,1,2,11,3,12,3,4,4,5,1,3,3,1,0.16666666666666666,0.01,0.017083333333333332,3,2,1,7
0,1,8,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,4,1,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,4,2,4,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,1,2,1,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.005833333333333334,0,0,1,7
0,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.02,0.005833333333333334,0,1,1,7
1,4,8,3,1,3,12,2,7,4,1,0,0,0,0,0.16666666666666666,0.035,0.008333333333333333,1,1,1,3
2,4,8,3,1,3,12,2,7,4,1,4,10,0,0,0.16666666666666666,0.0925,0.017916666666666668,2,1,1,3
3,4,8,3,1,3,12,2,7,4,1,4,10,4,12,0.16666666666666666,0.0925,0.017916666666666668,3,0,1,3
0,3,8,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,0,2,1,7
1,3,8,3,9,3,12,2,7,4,1,0,0,0,0,0.16666666666666666,0.01,0.008333333333333333,1,2,1,7
2,3,8,3,9,3,12,2,7,4,1,4,10,0,0,0.16666666666666666,0.01,0.017916666666666668,2,2,1,7
3,3,8,3,9,3,12,2,7,4,1,4,10,4,12,0.16666666666666666,0.01,0.017916666666666668,3,2,1,7
0,1,8,4,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,3
0,3,10,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,4,6,1,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.012833333333333334,0,0,1,3
0,2,7,3,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.012833333333333334,0,0,1,3
0,2,8,3,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.012833333333333334,0,0,1,3
0,2,12,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.012833333333333334,0,0,1,7
0,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0495,0.012833333333333334,0,2,1,3
0,3,11,3,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.012833333333333334,0,0,1,7
0,3,7,1,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.005833333333333334,0,0,1,3
0,1,11,4,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.02,0.005833333333333334,0,1,1,7
1,1,11,4,5,4,3,4,1,4,12,0,0,0,0,0.16666666666666666,0.02,0.005833333333333334,1,0,1,7
0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,3
0,3,4,2,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,4,2,4,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,3
0,2,5,1,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,0,2,1,7
1,2,5,1,5,4,3,4,1,4,12,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,1,2,1,7
0,3,2,4,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.3025,0,0,1,3
0,3,13,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.94,0.3025,0,1,1,7
1,3,13,1,13,2,2,2,1,4,11,0,0,0,0,0.16666666666666666,0.94,0.3025,1,1,1,7
2,3,13,1,13,2,2,2,1,4,11,1,1,0,0,0.16666666666666666,0.94,0.3025,2,1,1,7
3,3,13,1,13,2,2,2,1,4,11,1,1,3,3,0.16666666666666666,0.94,0.3025,3,1,1,7
0,1,7,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.3025,0,0,1,7
0,1,8,2,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.3025,0,0,1,7
0,1,9,1,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.3025,0,0,1,7
0,3,12,2,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.86,0.3025,0,2,1,7
1,3,12,2,12,2,2,2,1,4,11,0,0,0,0,0.16666666666666666,0.86,0.3025,1,2,1,7
2,3,12,2,12,2,2,2,1,4,11,1,1,0,0,0.16666666666666666,0.86,0.3025,2,2,1,7
3,3,12,2,12,2,2,2,1,4,11,1,1,3,3,0.16666666666666666,0.86,0.3025,3,2,1,7
0,3,7,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.009583333333333333,0,1,1,7
1,3,7,3,13,2,10,4,7,2,6,0,0,0,0,0.16666666666666666,0.0225,0.009583333333333333,1,0,1,7
0,3,8,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.009583333333333333,0,1,1,7
1,3,8,1,6,2,10,4,7,2,6,0,0,0,0,0.16666666666666666,0.0225,0.009583333333333333,1,1,1,7
0,4,4,2,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.009583333333333333,0,0,1,7
0,2,11,3,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.009583333333333333,0,0,1,7
0,2,9,4,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.009583333333333333,0,0,1,7
0,2,1,3,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.009583333333333333,0,2,1,7
1,2,1,3,12,2,10,4,7,2,6,0,0,0,0,0.16666666666666666,0.0125,0.009583333333333333,1,0,1,7
0,3,11,2,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.005833333333333334,0,0,1,7
0,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.02,0.005833333333333334,0,1,1,7
1,4,6,4,2,2,4,2,12,1,11,0,0,0,0,0.16666666666666666,0.02,0.005833333333333334,1,0,1,3
0,2,10,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,0,2,1,7
1,2,10,4,1,2,4,2,12,1,11,0,0,0,0,0.16666666666666666,0.01,0.005833333333333334,1,2,1,7
0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,3
0,1,12,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,2,3,4,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005833333333333334,0,0,1,7
0,3,6,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,0,1.0,1,3
1,3,6,3,5,1,1,4,12,4,2,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,1,1.0,1,7
0,2,11,2,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,0,,1,7
1,2,11,2,7,1,1,4,12,4,2,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,1,0.0,1,7
0,3,1,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0.0,1,7
0,1,10,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0.0,1,7
0,2,13,3,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0.0,1,7
0,2,2,3,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0.0,1,7
0,4,11,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,7
0,3,8,2,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,7
1,3,8,2,1,4,2,4,9,1,12,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,0,1,7
0,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,4,12,3,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,7
1,4,12,3,1,4,2,4,9,1,12,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,7
0,3,3,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,2,13,4,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,7
0,4,12,1,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,7
1,4,12,1,11,3,11,2,2,2,7,0,0,0,0,0.16666666666666666,0.0475,0.010833333333333334,1,1,1,7
2,4,12,1,11,3,11,2,2,2,7,3,5,0,0,0.16666666666666666,0.1475,0.0275,2,1,1,7
3,4,12,1,11,3,11,2,2,2,7,3,5,4,2,0.16666666666666666,0.1475,0.0275,3,0,1,7
0,1,5,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,1,9,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,7
1,1,9,1,8,3,11,2,2,2,7,0,0,0,0,0.16666666666666666,0.0125,0.010833333333333334,1,2,1,7
2,1,9,1,8,3,11,2,2,2,7,3,5,0,0,0.16666666666666666,0.0125,0.0275,2,2,1,7
3,1,9,1,8,3,11,2,2,2,7,3,5,4,2,0.16666666666666666,0.0125,0.0275,3,2,1,7
0,3,4,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,1,8,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.0049,0,0,1,7
0,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0049,0,0,1,7
0,2,3,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0049,0,0,1,7
0,4,8,2,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0049,0,0,1,7
0,2,4,4,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0049,0,0,1,7
0,2,10,4,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0144,0.0049,0,2,1,7
0,3,4,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,0,1,1,7
1,3,4,1,4,4,2,3,5,3,9,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,1,1,1,6
2,3,4,1,4,4,2,3,5,3,9,1,2,0,0,0.16666666666666666,0.01,0.0033333333333333335,2,1,1,7
3,3,4,1,4,4,2,3,5,3,9,1,2,1,3,0.16666666666666666,0.025,0.005833333333333334,3,1,1,7
0,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,0,,1,3
1,4,1,3,3,4,2,3,5,3,9,0,0,0,0,0.16666666666666666,0.01,0.0033333333333333335,1,,1,3
2,4,1,3,3,4,2,3,5,3,9,1,2,0,0,0.16666666666666666,0.01,0.0033333333333333335,2,,1,3
3,4,1,3,3,4,2,3,5,3,9,1,2,1,3,0.16666666666666666,0.01,0.005833333333333334,3,,1,3
0,1,5,2,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0,1,7
0,3,2,1,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0,1,7
0,3,10,4,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0,1,7
0,3,12,4,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0033333333333333335,0,0,1,7
0,4,11,2,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.005,0,0,1,7
0,3,8,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005,0,0,1,7
0,1,10,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.015,0.005,0,2,1,7
0,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,3,11,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,4,8,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,4,12,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.008333333333333333,0,0,1,7
0,2,11,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.008333333333333333,0,0,1,7
0,3,12,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.008333333333333333,0,0,1,7
0,3,11,3,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.008333333333333333,0,2,1,7
1,3,11,3,10,2,9,1,2,1,6,0,0,0,0,0.16666666666666666,0.0125,0.015833333333333335,1,2,1,7
2,3,11,3,10,2,9,1,2,1,6,2,12,0,0,0.16666666666666666,0.0125,0.032483333333333336,2,2,1,6
3,3,11,3,10,2,9,1,2,1,6,2,12,1,10,0.16666666666666666,0.0125,0.032483333333333336,3,2,1,6
0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.008333333333333333,0,1,1,2
1,1,1,4,1,2,9,1,2,1,6,0,0,0,0,0.16666666666666666,0.0675,0.015833333333333335,1,1,1,2
2,1,1,4,1,2,9,1,2,1,6,2,12,0,0,0.16666666666666666,0.1674,0.032483333333333336,2,1,1,2
3,1,1,4,1,2,9,1,2,1,6,2,12,1,10,0.16666666666666666,0.1674,0.032483333333333336,3,1,1,2
0,4,9,4,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.008333333333333333,0,0,1,7
0,1,10,2,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,7
0,1,7,3,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,6
1,1,7,3,7,3,9,3,13,4,6,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,1,1,3
2,1,7,3,7,3,9,3,13,4,6,1,1,0,0,0.16666666666666666,0.0225,0.006666666666666667,2,1,1,6
3,1,7,3,7,3,9,3,13,4,6,1,1,1,12,0.16666666666666666,0.0225,0.006666666666666667,3,1,1,6
0,2,5,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,3
1,2,5,3,5,3,9,3,13,4,6,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,3
2,2,5,3,5,3,9,3,13,4,6,1,1,0,0,0.16666666666666666,0.0125,0.006666666666666667,2,2,1,3
3,2,5,3,5,3,9,3,13,4,6,1,1,1,12,0.16666666666666666,0.0125,0.006666666666666667,3,2,1,3
0,2,7,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,4,2,2,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,2,10,3,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.0025,0,0,1,7
0,1,7,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0025,0,,1,7
0,2,9,3,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,4,10,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,4,12,3,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.020416666666666666,0,0,1,3
0,1,11,3,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.020416666666666666,0,0,1,7
0,4,1,1,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.06,0.020416666666666666,0,1,1,7
1,4,1,1,12,2,13,2,6,1,6,0,0,0,0,0.16666666666666666,0.06,0.020416666666666666,1,0,1,7
0,4,8,3,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0475,0.020416666666666666,0,2,1,7
1,4,8,3,8,2,13,2,6,1,6,0,0,0,0,0.16666666666666666,0.0475,0.020416666666666666,1,2,1,7
0,2,12,2,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.020416666666666666,0,0,1,7
0,4,6,4,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.020416666666666666,0,0,1,7
0,3,3,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.004166666666666667,0,0,1,7
0,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.004166666666666667,0,0,1,7
0,2,11,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004166666666666667,0,0,1,7
0,1,9,4,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.004166666666666667,0,2,1,7
0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004166666666666667,0,0,1,7
0,3,8,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004166666666666667,0,0,1,7
0,1,5,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.004583333333333333,0,0,1,7
0,1,11,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.004583333333333333,0,0,1,7
0,4,8,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004583333333333333,0,0,1,7
0,4,3,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004583333333333333,0,0,1,7
0,3,10,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.004583333333333333,0,2,1,7
0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004583333333333333,0,0,1,7
0,4,7,4,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,7
0,1,13,3,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,7
1,1,13,3,12,1,4,3,6,2,1,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,0,1,7
0,2,4,4,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,3
1,4,4,4,1,1,4,3,6,2,1,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,3
0,2,3,1,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,3,4,2,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.005,0,0,1,3
0,4,7,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.005,0,0,1,6
0,4,12,3,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,1,8,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.005,0,0,1,7
0,3,8,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.015,0.005,0,2,1,7
0,3,11,1,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.0025,0,0,1,7
0,3,13,2,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0025,0,,1,7
0,1,5,4,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,3
0,3,12,2,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,3
0,2,5,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,3,10,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,7
0,1,5,2,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,6
1,1,5,2,7,2,3,2,11,4,5,0,0,0,0,0.16666666666666666,0.06,0.012916666666666667,1,1,1,6
2,1,5,2,7,2,3,2,11,4,5,3,8,0,0,0.16666666666666666,0.06,0.012916666666666667,2,0,1,6
0,2,12,2,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,7
1,2,12,2,10,2,3,2,11,4,5,0,0,0,0,0.16666666666666666,0.0125,0.012916666666666667,1,2,1,7
2,2,12,2,10,2,3,2,11,4,5,3,8,0,0,0.16666666666666666,0.0125,0.012916666666666667,2,2,1,7
0,4,7,2,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,6
0,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,3,9,4,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,7
0,1,11,3,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.010416666666666666,0,0,1,7
0,1,7,1,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.010416666666666666,0,1,1,7
1,1,7,1,10,2,11,2,2,1,12,0,0,0,0,0.16666666666666666,0.0225,0.010416666666666666,1,1,1,6
2,1,7,1,10,2,11,2,2,1,12,4,8,0,0,0.16666666666666666,0.0225,0.010416666666666666,2,1,1,6
3,1,7,1,10,2,11,2,2,1,12,4,8,3,9,0.16666666666666666,0.0225,0.010416666666666666,3,1,1,6
0,2,9,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.010416666666666666,0,0,1,7
0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.010416666666666666,0,2,1,6
1,3,4,4,4,2,11,2,2,1,12,0,0,0,0,0.16666666666666666,0.0125,0.010416666666666666,1,2,1,6
2,3,4,4,4,2,11,2,2,1,12,4,8,0,0,0.16666666666666666,0.0125,0.010416666666666666,2,2,1,6
3,3,4,4,4,2,11,2,2,1,12,4,8,3,9,0.16666666666666666,0.0125,0.010416666666666666,3,2,1,6
0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.010416666666666666,0,0,1,6
0,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.010416666666666666,0,1,1,6
1,3,5,4,5,2,11,2,2,1,12,0,0,0,0,0.16666666666666666,0.0225,0.010416666666666666,1,1,1,6
2,3,5,4,5,2,11,2,2,1,12,4,8,0,0,0.16666666666666666,0.0225,0.010416666666666666,2,1,1,6
3,3,5,4,5,2,11,2,2,1,12,4,8,3,9,0.16666666666666666,0.0225,0.010416666666666666,3,1,1,6
0,4,4,4,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,6
0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,6
1,1,9,1,1,2,3,3,1,2,8,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,1,1,7
2,1,9,1,1,2,3,3,1,2,8,3,11,0,0,0.16666666666666666,0.0225,0.012916666666666667,2,1,1,3
3,1,9,1,1,2,3,3,1,2,8,3,11,4,5,0.16666666666666666,0.0225,0.012916666666666667,3,1,1,3
